post,comment,like,total_count,max_delta,last_person_event,max_delta_period_start,max_delta_period_end,id
652,6006,7504,14162,"8 days, 2:55:35",2013-02-22 09:17:52,2013-02-11 05:47:27,2013-02-19 08:43:02,4640
15,4516,5523,10054,"10 days, 22:24:22",2013-02-19 07:01:18,2013-02-19 07:01:18,2013-03-02 05:25:40,70
7,2761,3034,5802,"11 days, 19:50:35",2013-02-19 00:11:09,2010-02-01 10:32:08,2010-02-13 06:22:43,905
1020,6579,8102,15701,"11 days, 22:31:06",2013-02-18 06:54:34,2013-02-18 06:54:34,2013-03-02 05:25:40,1597
102,1439,2598,4139,"12 days, 15:38:21",2013-02-20 01:00:55,2013-02-07 09:22:34,2013-02-20 01:00:55,98
173,4542,5838,10553,"12 days, 20:01:57",2013-02-20 05:54:59,2013-02-07 09:53:02,2013-02-20 05:54:59,1847
2019,8539,8445,19003,"12 days, 20:50:41",2013-02-17 08:34:59,2013-02-17 08:34:59,2013-03-02 05:25:40,9660
130,6776,5291,12197,"12 days, 23:22:49",2013-02-17 06:02:51,2013-02-17 06:02:51,2013-03-02 05:25:40,8054
1056,9277,7044,17377,"13 days, 3:54:46",2013-02-17 01:30:54,2013-02-17 01:30:54,2013-03-02 05:25:40,6322
617,4744,5097,10458,"13 days, 16:45:39",2013-02-20 04:07:12,2013-02-06 11:21:33,2013-02-20 04:07:12,1907
695,2887,2872,6454,"13 days, 18:10:31",2013-02-16 11:15:09,2013-02-16 11:15:09,2013-03-02 05:25:40,9699
715,5751,6851,13317,"13 days, 19:29:05",2013-02-20 00:36:02,2010-02-01 10:32:08,2010-02-15 06:01:13,1327
45,3634,5086,8765,"14 days, 21:18:47",2013-02-15 08:06:53,2013-02-15 08:06:53,2013-03-02 05:25:40,8328
1193,8903,8058,18154,"14 days, 22:00:00",2013-02-15 07:25:40,2013-02-15 07:25:40,2013-03-02 05:25:40,6527
1010,3969,4541,9520,"14 days, 23:18:17",2013-02-16 03:00:15,2010-02-01 10:32:08,2010-02-16 09:50:25,7432
232,1440,2342,4014,"15 days, 2:50:22",2013-02-15 02:35:18,2013-02-15 02:35:18,2013-03-02 05:25:40,3628
433,2956,2765,6154,"15 days, 7:18:04",2013-02-19 01:41:20,2010-05-12 00:11:37,2010-05-27 07:29:41,1575
1728,5464,6530,13722,"15 days, 20:24:46",2013-02-14 09:00:54,2013-02-14 09:00:54,2013-03-02 05:25:40,9696
2239,6765,7183,16187,"15 days, 21:15:46",2013-02-14 08:09:54,2013-02-14 08:09:54,2013-03-02 05:25:40,9549
134,998,1446,2578,"15 days, 22:13:21",2013-02-14 07:12:19,2013-02-14 07:12:19,2013-03-02 05:25:40,7383
626,1613,2383,4622,"15 days, 23:54:02",2013-02-14 05:31:38,2013-02-14 05:31:38,2013-03-02 05:25:40,3970
645,9118,8331,18094,"16 days, 2:39:51",2013-02-14 02:45:49,2013-02-14 02:45:49,2013-03-02 05:25:40,9900
226,1491,2138,3855,"16 days, 3:18:51",2013-02-14 02:06:49,2013-02-14 02:06:49,2013-03-02 05:25:40,6500
391,7740,7959,16090,"16 days, 17:40:21",2013-02-13 11:45:19,2013-02-13 11:45:19,2013-03-02 05:25:40,6996
2187,2906,4393,9486,"16 days, 18:02:09",2013-02-13 11:23:31,2013-02-13 11:23:31,2013-03-02 05:25:40,6654
68,2355,4441,6864,"16 days, 18:03:44",2013-02-17 02:09:31,2010-02-01 10:32:08,2010-02-18 04:35:52,6395
2143,4693,4884,11720,"16 days, 20:00:59",2013-02-23 06:37:21,2013-02-06 10:36:22,2013-02-23 06:37:21,2263
110,5017,4944,10071,"16 days, 21:12:40",2013-02-13 08:13:00,2013-02-13 08:13:00,2013-03-02 05:25:40,6857
409,6346,6210,12965,"16 days, 21:23:55",2013-02-13 08:01:45,2013-02-13 08:01:45,2013-03-02 05:25:40,4702
976,2473,4124,7573,"17 days, 0:37:16",2013-02-13 04:48:24,2013-02-13 04:48:24,2013-03-02 05:25:40,945
215,4189,5270,9674,"17 days, 1:31:31",2013-02-13 03:54:09,2013-02-13 03:54:09,2013-03-02 05:25:40,6098
1318,6034,6596,13948,"17 days, 1:32:32",2013-02-13 03:53:08,2013-02-13 03:53:08,2013-03-02 05:25:40,9333
36,7760,7697,15493,"17 days, 2:06:45",2013-02-13 03:18:55,2013-02-13 03:18:55,2013-03-02 05:25:40,9421
282,818,1098,2198,"17 days, 2:06:57",2013-02-21 08:21:00,2010-03-02 06:17:18,2010-03-19 08:24:15,1624
1264,5284,6263,12811,"17 days, 2:14:25",2013-02-13 03:11:15,2013-02-13 03:11:15,2013-03-02 05:25:40,8350
51,5651,6806,12508,"17 days, 2:15:11",2013-02-13 03:10:29,2013-02-13 03:10:29,2013-03-02 05:25:40,5335
411,3091,3950,7452,"17 days, 15:22:29",2013-02-22 06:04:51,2010-02-01 10:32:08,2010-02-19 01:54:37,3688
569,4325,5069,9963,"17 days, 16:24:18",2013-02-25 02:43:57,2013-02-07 10:19:39,2013-02-25 02:43:57,6440
1211,8013,7402,16626,"17 days, 18:42:53",2013-02-12 10:42:47,2013-02-12 10:42:47,2013-03-02 05:25:40,265
1589,1553,3160,6302,"17 days, 20:38:06",2013-02-12 08:47:34,2013-02-12 08:47:34,2013-03-02 05:25:40,6768
1373,4576,5834,11783,"17 days, 21:29:48",2013-02-12 07:55:52,2013-02-12 07:55:52,2013-03-02 05:25:40,2713
1630,6361,6825,14816,"17 days, 23:58:25",2013-02-12 05:27:15,2013-02-12 05:27:15,2013-03-02 05:25:40,9434
613,5280,7250,13143,"18 days, 1:22:27",2013-02-12 04:03:13,2013-02-12 04:03:13,2013-03-02 05:25:40,2490
783,3043,2697,6523,"18 days, 2:34:23",2013-02-12 02:51:17,2013-02-12 02:51:17,2013-03-02 05:25:40,8058
2290,7248,8043,17581,"18 days, 4:59:47",2013-02-12 00:25:53,2013-02-12 00:25:53,2013-03-02 05:25:40,8457
862,475,495,1832,"18 days, 5:05:19",2013-02-12 00:20:21,2013-02-12 00:20:21,2013-03-02 05:25:40,9620
150,2391,3082,5623,"18 days, 17:44:30",2013-02-11 11:41:10,2013-02-11 11:41:10,2013-03-02 05:25:40,742
33,639,1194,1866,"18 days, 17:48:57",2013-02-11 11:36:43,2013-02-11 11:36:43,2013-03-02 05:25:40,5842
2450,7780,7461,17691,"18 days, 18:07:08",2013-02-14 10:30:47,2010-02-01 10:32:08,2010-02-20 04:39:16,9225
75,6876,5653,12604,"18 days, 18:39:13",2013-02-11 10:46:27,2013-02-11 10:46:27,2013-03-02 05:25:40,1693
23,3149,5112,8284,"18 days, 18:40:06",2013-02-11 10:45:34,2013-02-11 10:45:34,2013-03-02 05:25:40,6474
608,5058,5435,11101,"18 days, 19:25:30",2013-02-25 02:41:11,2013-02-06 07:15:41,2013-02-25 02:41:11,7512
618,3720,6478,10816,"18 days, 20:14:13",2013-02-11 09:11:27,2013-02-11 09:11:27,2013-03-02 05:25:40,8452
901,5347,4633,10881,"18 days, 20:31:19",2013-02-11 08:54:21,2013-02-11 08:54:21,2013-03-02 05:25:40,5343
31,2304,2430,4765,"18 days, 21:13:06",2013-02-11 08:12:34,2013-02-11 08:12:34,2013-03-02 05:25:40,9121
2203,2742,4277,9222,"18 days, 21:42:13",2013-02-11 07:43:27,2013-02-11 07:43:27,2013-03-02 05:25:40,7300
